Object Number,variable,artist
02.7.1,0,"Ingham, Charles Cromwell"
04.29.2,0,"Cole, Thomas"
04.3.36,0,"von Winterthur, Heinrich Heid"
06.1051.2,0,"Altdorfer, Albrecht"
06.1335.1a–d,0,"Tencalla, Carpoforo Mazzetti"
06.1335.1a–d,1,"Stazio, Abbondio"
06.968.2,0,"Stimmer, Tobias"
06.968.2,1,"Murer, Christoph"
06.968.2,2,Pfau David II
06.968.2,3,Pfau Hans Heinrich III
"07.286.36a, b",0,Penthesilea Painter
07.286.84,0,Painter of the Woolly Satyrs
08.162.1,0,"Rossetti, Dante Gabriel"
08.162.1,1,"Dunn, Henry Treffry"
08.183.1,0,"Bellini, Giovanni"
10.125.685,0,"Dennis, Thomas"
10.125.685,1,"Searle, William"
10.125.83,0,"Townsend, John"
10.189,0,"Veronese, Paolo (Paolo Caliari)"
10.228.1,0,"Homer, Winslow"
10.64.5,0,"Homer, Winslow"
100.1 B59,0,"Blanc, Charles"
100.1 B59,1,"Humbert, de Superville David-Pierre Giottino"
100.1 B591,0,"Gaucherel, Léon"
100.1 B591,1,"Blanc, Charles"
100.51 B61 no.2,0,Man Ray
100.51 B61 no.2,1,"Duchamp, Marcel"
100.51 B61 no.2,2,"Roché, H. P."
106.1 V28 F,0,Barrie
106.1 V28 F,1,"Strahan, Edward"
107.1 K75 1920 no.8,0,"Bakst, Léon"
107.1 K75 1920 no.8,1,"Knoedler, M., & Co."
107.15 R474 no.7,0,Museu de Arte Moderna
109A L83,0,"Lomazzo, Giovanni Paolo"
11.116.4,0,"Inness, George"
11.118,0,"Carpaccio, Vittore"
11.126.1,0,Giotto di Bondone
11.156,0,"Durand, Asher Brown"
11.173.1,0,"Rodin, Auguste"
110.5B75 C44,0,"Chizzola, Luigi"
12.11.1,0,"Rodin, Auguste"
12.3.1,0,Master Potter A
120 Se6,0,"Serlio, Sebastiano"
120.32P17 P17,0,"Palladio, Andrea"
123.1 F412,0,"Washburn, Ives"
123.1 F412,1,"Ferriss, Hugh"
125.97 D932,0,"Dürer, Albrecht"
126.5V55 B292 Q v.3,0,"Boito, Camillo"
126.5V55 B292 Q v.3,1,"Ongania, Ferdinando"
126.6 R61,0,"Colin et Cie., Éditeurs"
126.6 R61,1,"Rodin, Auguste"
126.6 R61,2,"Morice, Charles"
13.160.10,0,Al-Sufi `Abd al-Rahman
13.2,0,"Whistler, James McNeill"
13.228.13.6,0,Maulana Azhar
13.228.13.6,1,Nizami (Ilyas Abu Muhammad Nizam al-Din of Ganja)
13.228.13.6,2,Unknown
13.228.26,0,Miskin
13.228.26,1,Amir Khusrau Dihlavi
13.228.28,0,Miskin
13.228.28,1,Amir Khusrau Dihlavi
13.228.29,0,Basawan
13.228.29,1,Muhammad Husain Kashmiri
13.228.29,2,Amir Khusrau Dihlavi
13.228.33,0,Manohar
13.228.33,1,Muhammad Husain Kashmiri
13.228.33,2,Amir Khusrau Dihlavi
13.228.7.5,0,Sultan Muhammad Nur
13.228.7.5,1,Mahmud Muzahib
13.228.7.5,2,Shaykh Zada
13.228.7.5,3,Nizami (Ilyas Abu Muhammad Nizam al-Din of Ganja)
130.8 C23,0,"Carradori, Francesco"
131.1M58 C75,0,"Condivi, Ascanio"
139.3 N48 F,0,"Hayashi, Tadamasa"
139.3 N48 F,1,De Vinne Press
139.3 N48 F,2,"Bishop, Heber R."
139.3 N48 F,3,Kunz George Frederick
139.3 N48 F,4,Bushell Stephen Wootton Dr.
139.3 N48 F,5,"Lilley, Robert"
14.100.172,0,"Iyetada, Saotome"
14.100.172,1,"Munesuke, Myōchin"
14.126.1,0,"Sully, Thomas"
14.130.12,0,Euphiletos Painter
14.130.14,0,Hirschfeld Workshop
14.25.1425,0,"Gemlich, Ambrosius"
14.25.1425,1,"Peck, Peter"
14.25.1623,0,"Schmidt, Jacob"
14.26,0,"Coggeshall, Patty"
14.40.602,0,"Hals, Frans"
14.40.605,0,"Hals, Frans"
14.40.618,0,Rembrandt (Rembrandt van Rijn)
14.40.619,0,"Dyck, Anthony van"
14.40.623,0,"Ruisdael, Jacob van"
14.40.626–27,0,"Memling, Hans"
14.40.633,0,"Dürer, Albrecht"
14.40.642,0,Botticelli (Alessandro di Mariano Filipepi)
14.40.675,0,"Rossellino, Antonio"
14.40.687,0,Clodion (Claude Michel)
14.40.689,0,Giambologna
14.74.17,0,American Flint Glass Manufactory 
14.74.17,1,"Stiegel, Henry William"
14.76.6,0,Unidentified Artist
143.6 S92,0,"Froehner, Wilhelm"
143.7W41 W413,0,"Wedgwood, Josiah"
146.8  M821 Q,0,"Morgan, J. Pierpont"
146.8  M821 Q,1,"Williamson, George Charles"
146.9 T34,0,"Thiout, Antoine"
15.113.1–.5; 29.158.885,0,"Holden, Richard"
15.113.1–.5; 29.158.885,1,"Tachaux, Daniel"
15.142.2,0,"Sargent, John Singer"
15.30.59,0,"Durand, Asher Brown"
15.30.61,0,"Kensett, John Frederick"
15.30.62,0,"Gifford, Sanford Robinson"
15.30.67,0,"Church, Frederic Edwin"
15.75,0,"French, Daniel Chester"
152.7 T36 Q,0,"Thomas, Auguste H."
153 Ar7 F,0,Appleton & Co.
159.4 N486,0,"Plandome Press, Inc."
159.4 N486,1,"Silve, David"
159.4 N486,2,"Dwiggins, William Addison"
159.4 N486,3,Metropolitan Museum of Art
16.2.2,0,"Cassatt, Mary"
16.30ab,0,Raphael (Raffaello Sanzio or Santi)
16.53,0,"Sargent, John Singer"
16.68.2,0,"Blackburn, Joseph"
161 H41,0,"Taylor, I. & J."
161 H41,1,"Hepplewhite, A. & Co."
161 L841,0,"Brown, W. and O'Neil A."
161 L841,1,London Society of Cabinet Makers
161.1 C44 Q,0,"Chippendale, Thomas"
17.104,0,"Saint-Gaudens, Augustus"
17.142.1,0,Leonardo da Vinci
17.172,0,"Eakins, Thomas"
17.190.1720,0,"Negroli, Filippo"
17.190.2045,0,Medici Porcelain Factory
17.190.636,0,"Emmoser, Gerhard"
17.190.724,0,Heinrich of Constance Master
17.190.823,0,Walbaum Matthias
17.190.823,1,"Mozart, Anton"
"17.230.14a, b",0,Exekias
17.3.159,0,"Whistler, James McNeill"
17.3.90,0,"Whistler, James McNeill"
17.40.2a–r,0,Bousch Valentin
17.50.17-36,0,"Castiglione, Giovanni Benedetto (Il Grechetto)"
17.50.17-36,1,"Merwede, Matthuys van de, Lord of Clootwyck"
17.50.17-36,2,"Rossi, Giovanni Giacomo De"
17.81.4,0,Bihzad
17.81.4,1,Hafiz
"17.87.3a, b",0,"Liger, C."
17.90.1,0,"Saint-Gaudens, Augustus"
17.97.5,0,"Whistler, James McNeill"
170.1 AL1 Quarto,0,"Albers, Josef"
170.1 AL1 Quarto,1,Yale University Press
170.1 C424,0,"Chevreul, Michel Eugène"
170.1 C424,1,"Martel, Charles"
170.1 R674,0,"Rood, Ogden Nicholas"
170.9 F46,0,"Fielding, Theodore Henry Adolphus"
171.1 C17,0,"Carducho, Vincente"
171.1 C17,1,"Martínez, Francisco"
171.1 C17,2,"López, Francisco"
171.1 C17,3,"Fernández, Francisco"
175T49 R43,0,"Ridolfi, Carlo"
18.70.28,0,"Pisano, Giovanni"
19.115.2,0,"Muneakira, Myōchin"
19.126,0,"MacNeil, Hermon Atkins"
"19.131.1a–r, t–w, .2a–c; 27.183.16",0,Royal Workshops at Greenwich
"19.131.1a–r, t–w, .2a–c; 27.183.16",1,"Holbein, Hans, the Younger"
19.164,0,"Bruegel, Pieter, the Elder"
19.51.7,0,"Degas, Edgar"
19.51.7,1,"Manet, Édouard"
19.68.1,0,Muhammad ibn Badr al-Din Jajarmi
19.73.1,0,"Dürer, Albrecht"
19.74.1,0,"Raimondi, Marcantonio"
19.74.1,1,Raphael (Raffaello Sanzio or Santi)
19.77.2,0,"Ingres, Jean Auguste Dominique"
192H221  B61,0,Blemly William Ignatius
1950-04-01 00:00:00,0,"Penn, Irving"
1970.137.1,0,Riemenschneider Tilman
1970.179.1a–q,0,"Boutet, Nicholas-Noël"
1970.230.4,0,Vincennes Manufactory
1970.230.4,1,"Duplessis, Jean-Claude"
1970.301.2,0,Sultan Muhammad
1970.301.2,1,Abu'l Qasim Firdausi
1970.301.3,0,Sultan Muhammad
1970.301.3,1,Abu'l Qasim Firdausi
1970.301.51,0,Qasim ibn 'Ali
1970.301.51,1,Abu'l Qasim Firdausi
1970.35.1,0,Pottier and Stymus Manufacturing Company
1970.727.1,0,"Hine, Lewis"
1970.77,0,"Schuech, Israel"
1970.77,1,"Martinez, Juan"
1970.89.1a–c,0,Ungaro Emanuel
1971.155,0,"Carracci, Annibale"
1971.158.1,0,Mosca Simone
1971.219,0,"Roux, Alexander"
1971.63.1,0,"Panini, Giovanni Paolo"
1971.79.4,0,"Givenchy, Hubert de"
1971.79.4,1,Givenchy House of
1971.86,0,Velázquez (Diego Rodríguez de Silva y Velázquez)
1972.111.1a-c,0,Mannello Angelo
1972.118.210,0,"Delacroix, Eugène"
1972.127,0,"Smith, David"
1972.223,0,"Le Bourgeois, Pierre"
1972.223,1,"Le Bourgeois, Marin"
1972.263.6,0,"Davis, Joseph H."
1972.47,0,Herter Brothers
1972.60.1,0,"Wright, Frank Lloyd"
"1973.104.2a, b",0,"Grès, Madame"
1973.120.1,0,QU DING
1973.120.6,0,QIAN XUAN
1973.257,0,"Ward, John Quincy Adams"
1973.282.2,0,Ferragamo Salvatore
1973.315.1,0,Joubert Gilles
1973.634,0,Canaletto (Giovanni Antonio Canal)
"1973.6a, b",0,Louiseboulanger
1974.136.3,0,"Courrèges, André"
1974.185.3a–c,0,Harris H.
1974.185.3a–c,1,Scholte
"1974.214.26a, b",0,Gorham Manufacturing Company
"1974.214.26a, b",1,Spaulding and Company
1974.356.120a,0,"Bauer, Johann Michael"
1974.356.524,0,"Bustelli, Franz Anton"
1974.356.524,1,Nymphenburg Porcelain Manufactory
1975.1.1015,0,Vasaro Giovanni Maria
1975.1.1019,0,Nicola da Urbino
1975.1.103,0,"Baronzio, Giovanni"
1975.1.104,0,Master of Saint Francis
1975.1.110,0,"Christus, Petrus"
1975.1.1103,0,"Andreoli, Giorgio Maestro"
1975.1.113,0,"Memling, Hans"
1975.1.119,0,"David, Gerard"
1975.1.1194,0,Italian
1975.1.1194,1,French
1975.1.12,0,"Martini, Simone"
1975.1.120,0,"David, Gerard"
1975.1.1232,0,Master IC
1975.1.1232,1,"Cour, Jean"
1975.1.1244,0,"Goullons, Jacques"
1975.1.130,0,"Hey, Jean (called Master of Moulins)"
1975.1.138,0,"Holbein, Hans, the Younger"
1975.1.140,0,Rembrandt (Rembrandt van Rijn)
1975.1.141,0,"Borch, Gerard ter, the Younger"
1975.1.142,0,"Borch, Gerard ter, the Younger"
1975.1.144,0,"Hooch, Pieter de"
1975.1.145,0,"Greco, El (Domenikos Theotokopoulos)"
1975.1.146,0,"Greco, El (Domenikos Theotokopoulos)"
1975.1.148,0,Goya (Francisco de Goya y Lucientes)
1975.1.155,0,Balthus (Balthasar Klossowski)
1975.1.1558,0,"Vasters, Reinhold"
1975.1.1558,1,Italian
1975.1.156,0,"Bonnard, Pierre"
1975.1.159,0,"Braque, Georges"
1975.1.16,0,Bartolo di Fredi
1975.1.160,0,"Cézanne, Paul"
1975.1.162,0,"Corot, Camille"
1975.1.1638,0,del Tasso
1975.1.168,0,"Derain, André"
1975.1.186,0,"Ingres, Jean Auguste Dominique"
1975.1.1915,0,"Orley, Bernard van"
1975.1.1915,1,"Pannemaker, Pieter de"
1975.1.192,0,"Marquet, Albert"
1975.1.194,0,"Matisse, Henri"
1975.1.196,0,"Monet, Claude"
1975.1.199,0,"Renoir, Auguste"
1975.1.201,0,"Renoir, Auguste"
1975.1.2026,0,"Carlin, Martin"
1975.1.2026,1,Sèvres Manufactory
1975.1.2026,2,French
1975.1.209,0,"Signac, Paul"
1975.1.21,0,Niccolò di Buonaccorso
1975.1.2101,0,"Italian, Siena"
1975.1.225,0,"Vuillard, Édouard"
1975.1.231,0,"Gogh, Vincent van"
1975.1.2486,0,"David, Gerard"
1975.1.2487,0,"Bening, Simon"
1975.1.2490,0,"Fouquet, Jean"
1975.1.2491,0,"Marmitta, Francesco"
1975.1.27,0,Osservanza Master
1975.1.270,0,"Bartolomeo, Fra (Bartolomeo di Paolo del Fattorino)"
1975.1.297,0,Canaletto (Giovanni Antonio Canal)
1975.1.31,0,Giovanni di Paolo (Giovanni di Paolo di Grazia)
1975.1.335,0,Lorenzo Monaco (Piero di Giovanni)
1975.1.342,0,"Guardi, Francesco"
1975.1.369,0,Leonardo da Vinci
1975.1.37,0,Giovanni di Paolo (Giovanni di Paolo di Grazia)
1975.1.376,0,Francesco di Giorgio Martini
1975.1.38,0,Giovanni di Paolo (Giovanni di Paolo di Grazia)
1975.1.410,0,"Pollaiuolo, Antonio"
1975.1.443,0,"Tiepolo, Giovanni Battista"
1975.1.473,0,"Tiepolo, Giovanni Domenico"
1975.1.514,0,"Tiepolo, Giovanni Domenico"
1975.1.54,0,Benvenuto di Giovanni
1975.1.553,0,"Zuccaro, Taddeo"
1975.1.58,0,"Daddi, Bernardo"
1975.1.592,0,"Cross, Henri-Edmond"
1975.1.647,0,"Ingres, Jean Auguste Dominique"
1975.1.66,0,Lorenzo Monaco (Piero di Giovanni)
1975.1.661,0,Claude Lorrain (Claude Gellée)
1975.1.669,0,"Matisse, Henri"
1975.1.7,0,Ugolino da Siena (Ugolino di Nerio)
1975.1.704,0,"Seurat, Georges"
1975.1.710,0,"Signac, Paul"
1975.1.731,0,"Toulouse-Lautrec, Henri de"
1975.1.736,0,"Vallotton, Félix"
1975.1.74,0,Botticelli (Alessandro di Mariano Filipepi)
1975.1.753,0,"Villon, Jacques"
1975.1.763,0,"Watteau, Antoine"
1975.1.774,0,"Gogh, Vincent van"
1975.1.792,0,Rembrandt (Rembrandt van Rijn)
1975.1.794,0,Rembrandt (Rembrandt van Rijn)
1975.1.799,0,Rembrandt (Rembrandt van Rijn)
1975.1.843,0,"Rubens, Peter Paul"
1975.1.848,0,"van der Stockt, Vranke"
1975.1.85,0,Jacometto (Jacometto Veneziano)
1975.1.855,0,"Baldung, Hans (called Hans Baldung Grien)"
1975.1.859,0,"Dürer, Albrecht"
1975.1.86,0,Jacometto (Jacometto Veneziano)
1975.1.872,0,"Schongauer, Martin"
1975.1.940,0,"Prendergast, Maurice Brazil"
1975.1.95,0,Maestro delle Storie del Pane
1975.1.96,0,Maestro delle Storie del Pane
1975.15a–c,0,"Doucet, Jacques"
1975.16,0,"Heade, Martin Johnson"
1975.246.5a–c,0,James Charles
1975.268.48a–d,0,Kano Sansetsu
1975.27.1,0,"Edmonds, Francis William"
1975.319.1,0,"Cassatt, Mary"
1975.321,0,"Weber, Max"
1975.59,0,Koyate Mamadou
1976.124.7a–c,0,"Balenciaga, Cristobal"
1976.124.7a–c,1,Balenciaga House of
1976.155.110,0,"Carlin, Martin"
1976.155.110,1,"Bouillat père, Edme François"
1976.155.110,2,Sèvres Manufactory
1976.324,0,"Barry, and Son Joseph B."
1976.332,0,"Trumbull, John"
"1976.368.5a, b",0,"Blass, Bill"
"1976.368.5a, b",1,PBM
"1976.368.5a, b",2,Bonwit Teller & Co.
1976.414.3a-ggg,0,"Dupas, Jean"
1976.414.3a-ggg,1,"Champigneulle, Jacques-Charles"
1976.646,0,"Le Gray, Gustave"
1976.652.3-4,0,"Edouart, Auguste"
1976.92,0,"Bernini, Gian Lorenzo"
1976.92,1,"Bernini, Pietro"
1977.1,0,"David, Jacques Louis"
1977.1.11,0,"Heiglen, Johann Erhard"
1977.1.3,0,"Tiepolo, Giovanni Battista"
1977.243,0,"Stuart, Gilbert"
"1977.329.5a, b",0,Rébè
"1977.329.5a, b",1,Saint Laurent Yves
"1977.329.5a, b",2,"Dior, House of"
1977.78,0,HAN GAN
1978.163.2a–c,0,Kamali Norma
1978.203,0,"Lane, Fitz Henry"
1978.288.23a–f,0,Schiaparelli Elsa
1978.288.23a–f,1,Bonwit Teller & Co.
"1978.288.7a, b",0,Callot Soeurs
1978.412.499,0,Zlan of Belewale
1978.61.1-.6,0,"Bearden, Romare"
1979.206.1047,0,Chakalte'
1979.29,0,Buli Master
1979.32,0,"Esherick, Wharton"
"1979.380a, b",0,Martin Christian Frederick
1979.394,0,"Ward, John Quincy Adams"
1979.395,0,"Earl, Ralph"
1979.396.1,0,"Vermeer, Johannes"
"1979.435.10a, b",0,"Givenchy, Hubert de"
"1979.435.10a, b",1,Givenchy House of
1979.5a–d,0,Wang Hui
1979.622,0,"Watkins, Carleton E."
1980.1023.5,0,Brassaï
"1980.111a,b",0,Grenser H.
1980.351,0,"Mies van der Rohe, Ludwig"
1980.42,0,"Lichtenstein, Roy"
1980.92.1a–c,0,Drecoll
1981.238,0,"Rubens, Peter Paul"
1981.276,0,Guo Xi
1981.278,0,Huizong Emperor
1981.35,0,"O'Keeffe, Georgia"
1981.380.2,0,Callot Soeurs
1981.4.1a–o,0,GONG XIAN
"1981.57.2a, b",0,LEINBERGER HANS
1982.147.25,0,"Pollock, Jackson"
1982.16.3,0,"De Kooning, Willem"
1982.171.1,0,"Kim, Kwang Ju"
1982.179.29,0,"Derain, André"
1982.213,0,Kamal Muhammad
1982.213,1,Muhammad Chand
1982.30ab,0,"Frankl, Paul T."
1982.324,0,"Meares, Richard"
1982.443.2,0,"Powers, Hiram"
1982.45,0,"Briosco, Andrea, called Riccio"
"1982.4a, b",0,"Fletcher, Thomas"
"1982.4a, b",1,"Gardiner, Sidney"
1982.53,0,Balthus (Balthasar Klossowski)
1982.55.1,0,"Pippin, Horace"
1982.59.1–.105,0,"Appleton, Thomas"
1982.60.129,0,Master of the Martyrdom of St. Sebastian
1982.60.61,0,"Oeben, Jean-François"
1982.60.61,1,Vandercruse Roger called Lacroix
1982.60.81,0,"Roentgen, David"
1982.60.81,1,"Zick, Januarius"
1982.60.81,2,Gervais Elie
1982.60.81,3,"Rémond, Pierre"
1982.60.82,0,"Boulle, André Charles"
1982.90.1a-c,0,"Rosenquist, James"
1983.1009(8),0,"Matisse, Henri"
1983.251,0,"Botero, Fernando"
1983.356,0,Donatello
1983.451,0,"Baldung, Hans (called Hans Baldung Grien)"
1983.457,0,"Guston, Philip"
1983.606.14–.22,0,"Warhol, Andy"
"1983.619.1a, b",0,Saint Laurent Yves
"1983.619.1a, b",1,"Saint Laurent Yves, Paris"
"1983.8a, b",0,"Poiret, Paul"
1984.114.1,0,Vuillaume Jean Baptiste
"1984.163.4a, b",0,"Saint Laurent Yves, Paris"
"1984.163.4a, b",1,Saint Laurent Yves
1984.194,0,"Grooms, Red"
1984.225,0,"Ertel, Giacomo (Jacob)"
1984.256,0,Fulper Pottery Company
1984.3,0,"Chanel, Gabrielle ""Coco"""
1984.3,1,"Chanel, House of"
1984.315.42,0,"Klee, Paul"
1984.328a-d,0,"Caro, Anthony"
1984.331.13,0,"Munro, Rebekah S."
1984.34,0,Hofmann Ferdinand
1984.425,0,"Bennett, John"
1984.433.16,0,"Matisse, Henri"
1984.433.294,0,"Schiele, Egon"
1984.433.298ab,0,"Schiele, Egon"
1984.433.34,0,"Lachaise, Gaston"
1984.459.1,0,"Sweerts, Michiel"
1984.459.2,0,Guercino (Giovanni Francesco Barbieri)
1984.527,0,"Avery, Milton"
1984.613.2,0,"De Kooning, Willem"
1985.114,0,"Lalique, René-Jules"
1985.116,0,"Pabst, Daniel"
1985.124,0,Tielke Joachim
1985.353,0,"Saint-Gaudens, Augustus"
1985.63.5,0,"Rothko, Mark"
1986.1053.1,0,"Brandt, Bill"
1986.1054.19,0,"O'Sullivan, Timothy H."
1986.1159,0,"Mantegna, Andrea"
1986.1225.2,0,"Kertész, André"
1986.138,0,"Lotto, Lorenzo"
1986.237,0,Boston and Sandwich Glass Company
1986.239,0,Kintzing Christian
"1986.265.1, .2",0,Grecke Johan Adolph
1986.266.4,0,Wu Bin
1986.353.1,0,"Hauser, Hermann"
1986.353.2,0,"Ramírez, Manuel"
1986.365.3,0,Oppenordt Alexandre-Jean
1986.365.3,1,"Berain, Jean"
1986.397,0,"Bourgeois, Louise"
1986.441.3,0,"Still, Clyfford"
1987.1100.1,0,"Sheeler, Charles"
1987.1100.10,0,"Strand, Paul"
1987.1100.13,0,"Coburn, Alvin Langdon"
1987.1100.384,0,"Abbott, Berenice"
1987.1100.40,0,Man Ray
1987.1100.47,0,"Lissitzky, El"
1987.1100.476,0,"Feininger, T. Lux"
1987.1100.48,0,"Kertész, André"
1987.1100.482,0,"Evans, Walker"
1987.1100.49,0,Umbo (Otto Umbehr)
1987.1100.87,0,"Model, Lisette"
1987.1161,0,"Braun, Adolphe"
1987.12,0,"Müller, Karl L. H."
1987.282,0,"Close, Chuck"
1987.455.2,0,"Klee, Paul"
1987.47.1,0,"Degas, Edgar"
1987.88,0,"Warhol, Andy"
1988.103,0,"Evans, Walker"
1988.1031,0,"Cuvelier, Eugène"
1988.159,0,"von Hagenau, Nikolaus"
1988.162,0,Canaletto (Giovanni Antonio Canal)
1988.164,0,Hukin & Heath
1988.164,1,"Dresser, Christopher"
1988.294.1,0,Meissen Manufactory
1988.294.1,1,Kirchner Johann Gottlieb
1988.65.1–.2,0,Hallé
1988.74.2a–e,0,"Gernreich, Rudi"
1988.87,0,Tecchler David
1989.1038.2,0,"Klein, William"
